source,method,k,n_dims,digit_eta_max,digit_eta_mean,digit_eta_n_above,digit_eta_null,b_raw_max,b_partial_max,rot_circular_max,rot_naive_max,digit_acc_logreg,digit_acc_mlp,b_r2_linreg,b_r2_mlp,rot_r2_linreg,rot_r2_mlp
iVAE-cond,residA,44,20,0.6371497389812275,0.43077076316762863,20,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.7155,0.9339,0.9243855637244851,0.9715340193037139,0.5870336709862058,0.8274992544091637
iVAE-cond,residA,51,13,0.4965527054233561,0.3502421201459838,13,0.030001500112509374,0.45851594682016383,0.5021739403789676,0.528306597707976,0.4816102054284365,0.5322,0.7632,0.8479545591312829,0.916343525751013,0.5404498191624427,0.7059291978424214
iVAE-cond,residA,57,7,0.36358274207890035,0.275994176488823,7,0.030001500112509374,0.45851594682016383,0.46631791763187885,0.528306597707976,0.4816102054284365,0.2876,0.4164,0.5205913376712725,0.5877157032992839,0.34753068423314093,0.41330842101332543
iVAE-cond,residA,63,1,0.20108607628525868,0.20108607628525868,1,0.030001500112509374,0.45851594682016383,0.46631791763187924,0.18730997372691768,0.17487543514632822,0.1569,0.1638,0.19693413147341654,0.21545347689720507,0.02746408936937239,0.028296336887643103
iVAE-fair,residB,0,64,0.9182956205091779,0.47399618809759547,50,0.030001500112509374,0.4041516060492157,0.4064012965005398,0.5046760030711921,0.48210468976338583,1.0,1.0,0.5168706267424926,0.7047685242444035,0.490934987604283,0.721588052491944
iVAE-fair,residA,1,63,0.5829757042347935,0.49828034999728044,63,0.030001500112509374,0.32097347976143814,0.4010875660588621,0.5567173023276224,0.5409021447138895,0.8471,0.8813,0.48905955633036957,0.6954948320938766,0.5039507853908476,0.6922627293360384
iVAE-fair,residA,7,57,0.5366455002224634,0.4918016597267852,57,0.030001500112509374,0.28625964329032544,0.33149220597532625,0.5567173023276224,0.5409021447138895,0.8464,0.8811,0.49636118685585473,0.6639850014182707,0.5049731472299042,0.7217800117077007
iVAE-fair,residA,13,51,0.5139181131720769,0.4875161540914778,51,0.030001500112509374,0.28625964329032544,0.33149220597532625,0.5567173023276224,0.5409021447138895,0.8416,0.8686,0.44003759082491,0.16528709193277236,0.4854144151846168,0.7096199482934533
iVAE-fair,residA,20,44,0.5039205640634551,0.48406123597216305,44,0.030001500112509374,0.28625964329032544,0.33047487729013614,0.5567173023276224,0.5409021447138895,0.83,0.8791,0.4590424911568969,0.5703772957884856,0.48256946335454476,0.6914863215059341
iVAE-fair,residA,26,38,0.5028418185711652,0.4814626714050122,38,0.030001500112509374,0.28625964329032544,0.33047487729013614,0.5567173023276224,0.5409021447138895,0.8206,0.8711,0.425290421616522,0.6300062105909063,0.49420031191294433,0.7004988883537429
iVAE-fair,residA,32,32,0.5028418185711652,0.47843323175447006,32,0.030001500112509374,0.28625964329032544,0.33047487729013614,0.5567173023276224,0.5409021447138895,0.8109,0.8706,0.4200341783584488,0.6459872170813075,0.4336645905212613,0.692345667261056
iVAE-fair,residA,38,26,0.5028418185711652,0.47449927360393807,26,0.030001500112509374,0.28625964329032544,0.33047487729013614,0.5567173023276224,0.5409021447138895,0.7944,0.8669,0.4135253791764578,0.628403260403875,0.43116819471372525,0.6824630361389428
iVAE-fair,residA,44,20,0.5028418185711652,0.4693453172850818,20,0.030001500112509374,0.28625964329032544,0.33047487729013614,0.5567173023276224,0.5409021447138895,0.7558,0.843,0.41409709441344467,0.558923696973097,0.4198792940696998,0.6420419209561561
iVAE-fair,residA,51,13,0.49755793595955006,0.46133205123774157,13,0.030001500112509374,0.28625964329032544,0.32680288100063387,0.5567173023276224,0.5409021447138895,0.7038,0.7892,0.29403613744585655,0.32564914403075096,0.39319821214920436,0.5710313119264568
iVAE-fair,residA,57,7,0.4867529150439824,0.44462831565422845,7,0.030001500112509374,0.28625964329032544,0.32680288100063387,0.5567173023276224,0.5409021447138895,0.5887,0.6624,0.13569042861725544,0.16929041277565138,0.3288702459486009,0.4458091568666628
iVAE-fair,residA,63,1,0.3826083289467404,0.3826083289467404,1,0.030001500112509374,0.260708603157343,0.28268075922494873,0.5567173023276214,0.5409021447138895,0.1507,0.2046,0.0633751894707053,0.06783380701078756,0.24212330344034982,0.248800874854887
